iter	RMSE
373	520.2556668
374	520.2454786
375	520.2077685
376	519.6939827
377	519.3602114
378	519.1824046
379	518.834946
380	518.5568307
381	518.1958106
382	517.7227641
383	517.4587219
384	517.1586838
385	517.0555322
386	516.8708126
387	516.7918919
388	516.5739752
389	516.323226
390	515.9881903
391	515.4853514
392	515.2645499
393	515.1187799
394	514.8549543
395	514.7919916
396	514.7831757
397	514.619193
398	514.5614357
399	514.3626833
400	514.2104093
401	514.0588508
402	514.0529375
403	512.4553196
404	512.3005943
405	512.1795556
406	511.9349851
407	511.4762307
408	510.8355566
409	510.7951932
410	509.9275711
411	509.8829417
412	509.4847273
413	509.2502449
414	509.175823
415	509.0379543
416	508.867615
417	508.8218946
418	508.7614362
419	508.542992
420	507.9556052
421	507.6974434
422	507.4513121
423	506.4909064
424	506.4873069
425	506.4063089
426	506.2962205
427	505.6398832
428	505.6048615
429	505.4181216
430	505.1886056
431	505.1274413
432	504.987307
433	504.6461715
434	504.3300899
435	504.3003813
436	504.1523718
437	504.1146177
438	504.0960317
439	503.9121739
440	503.8508322
441	503.7655702
442	503.6595005
443	503.4752411
444	503.1815008
445	503.1419836
446	503.0958724
447	502.6725093
448	502.5756819
449	502.3357508
450	502.043807
451	501.9003262
452	500.8033212
453	500.6257851
454	500.5239003
455	500.3776775
456	500.3011133
457	499.6744238
458	499.1469881
459	498.9519615
460	498.2236823
461	497.9129593
462	497.6841724
463	497.1491937
464	497.0891784
465	496.8796167
466	496.6374021
467	496.4001263
468	496.2076896
469	495.7286967
470	495.587888
471	495.3215198
472	494.9594051
473	494.8924487
474	494.551608
475	494.4722633
476	494.4160838
477	494.2364139
478	494.2019863
479	493.6821095
480	493.4385634
481	492.1366939
482	491.7964372
483	491.7815142
484	491.7689769
485	491.5079948
486	491.5056964
487	491.3021015
488	491.2396318
489	491.0309343
490	490.8631077
491	490.6790218
492	490.5337954
493	490.3794189
494	489.7169575
495	489.6547533
496	489.1182345
497	488.5775931
498	488.523892
499	488.4809362
500	488.2986338
501	488.2759315
502	488.1869155
503	487.9656963
504	487.941808
505	486.9679915
506	486.854466
507	486.1096746
508	486.0995577
509	486.0961815
510	486.0566336
511	485.9180878
512	485.8379847
513	485.7404255
514	485.5805191
515	485.5346691
516	485.3765622
517	485.2081245
518	484.9155525
519	484.9107388
520	483.9018727
521	483.8659516
522	483.3518026
523	483.2973582
524	483.1667011
525	483.1513297
526	483.0326887
527	483.0283096
528	483.0263922
529	482.9406277
530	482.0834453
531	481.8468361
532	481.4604151
533	481.4074347
534	481.0463426
535	480.7816247
536	480.5758694
537	480.4647574
538	480.4228121
539	480.1789494
540	479.9675592
541	479.9205472
542	479.3713976
543	478.7974591
544	478.7850973
545	478.4387991
546	478.3596194
547	478.3392998
548	478.2490176
549	478.0248629
550	477.8659911
551	477.7016722
552	477.6595299
553	477.3262238
554	477.1111857
555	477.1004157
556	476.9785046
557	476.8931432
558	476.7592332
559	476.41546
560	476.3290963
561	475.6014078
562	475.4641884
563	475.185179
564	475.1377834
565	474.8410951
566	474.8354165
567	474.7233733
568	474.2961395
569	474.166201
570	473.8152715
571	473.7283038
572	473.4918479
573	473.2467365
574	473.0965371
575	473.0528093
576	472.6928913
577	472.5752
578	472.4394342
579	472.3749529
580	472.0914461
581	471.8440777
582	471.7291424
583	471.667891
584	471.570012
585	471.4300393
586	471.3927086
587	471.2700499
588	471.0863394
589	470.7637063
590	470.6088516
591	470.5597121
592	470.4963403
593	470.4778096
594	470.2688899
595	470.005073
596	469.9788482
597	469.7663996
598	469.7640864
599	469.4638503
600	469.3951107
601	469.3498843
602	469.0862916
603	468.648534
604	468.646707
605	468.575099
606	468.4851152
607	468.440917
608	468.3789246
609	468.1883748
610	468.0196059
611	467.6359587
612	467.3387456
613	467.3011568
614	466.7656436
615	466.6871263
616	466.4465727
617	466.2480313
618	466.0838687
619	465.8653179
620	465.6010498
621	465.4644152
622	465.4501552
623	465.3160821
624	465.2243308
625	464.8494389
626	464.5046402
627	464.4130966
628	464.3456363
629	464.1273705
630	463.607441
631	463.604204
632	463.4970868
633	463.2969861
634	463.253996
635	463.2518357
636	462.7049729
637	462.6510545
638	462.5714095
639	462.477697
640	461.5640222
641	461.2545947
642	461.2371576
643	461.049437
644	460.3973794
645	460.0820869
646	459.8810708
647	459.7604345
648	459.4287081
649	459.21818
650	459.1991955
651	458.6517259
652	458.6246587
653	458.5781299
654	458.5500458
655	458.4335328
656	458.3154707
657	458.2001173
658	457.8167042
659	457.5946008
660	457.5617831
661	457.3685703
662	457.3553724
663	457.2003614
664	457.1957023
665	457.0491548
666	457.0480788
667	456.9165738
668	456.8740357
669	456.5803066
670	456.4695095
671	456.0799462
672	455.9737131
673	455.8891868
674	455.8881117
675	455.3325879
676	455.1813869
677	454.9389409
678	454.5885059
679	454.565545
680	454.4053992
681	454.2731903
682	454.1730429
683	454.1174356
684	453.8381396
685	453.4377658
686	453.2118835
687	453.1412061
688	452.8347864
689	452.8042055
690	452.6704531
691	452.3928294
692	452.1716054
693	452.1372563
694	452.075004
695	451.2426236
696	451.1877112
697	451.0865593
698	451.0671579
699	451.0080948
700	450.6926981
701	450.586066
702	450.5327433
703	450.3394372
704	449.9821114
705	449.6879083
706	449.6867763
707	449.6044687
708	449.5162935
709	449.377549
710	449.3734372
711	449.3312429
712	449.2695034
713	449.2475351
714	448.8896092
715	448.857011
716	448.5820136
717	448.4912548
718	448.1625003
719	448.1439433
720	448.1345532
721	448.0566603
722	447.9841644
723	447.8710066
724	447.5136141
725	447.3738153
726	447.2839967
727	447.1212563
728	446.8927399
729	446.8503462
730	446.6988244
731	446.4966492
732	446.4957961
733	446.1369441
734	446.1089846
735	445.8819882
736	445.7375651
737	445.5991584
738	445.4733028
739	445.2632514
740	444.4309058
741	444.2702452
742	444.2314238
743	444.2089914
744	444.0900068
745	444.0884106
746	443.933559
747	443.8435495
748	443.7753539
749	443.7570449
750	443.7377915
751	443.4171941
752	443.3488702
753	442.4812482
754	442.4405425
755	442.4128253
756	442.3747206
757	442.1514507
758	442.0841061
759	441.9227873
760	441.9032316
761	441.7925101
762	441.666787
763	441.6336929
764	441.5233958
765	441.483876
766	441.4279028
767	441.3951898
768	441.2469452
769	441.2016691
770	441.0585888
771	440.9571455
772	440.9510339
773	440.7761567
774	440.5951456
775	440.4458974
776	440.3299165
777	440.2814713
778	440.1578658
779	440.022754
780	439.7247972
781	439.7120993
782	439.6968329
783	439.557655
784	439.5509176
785	439.5061338
786	439.412426
787	439.4119496
788	439.1756489
789	439.1555708
790	439.027727
791	438.7305722
792	438.668286
793	438.5087613
794	438.3368005
795	437.9361368
796	437.9159394
797	437.8662357
798	437.7456981
799	437.7395646
800	437.7260929
801	437.5165318
802	437.0285585
803	436.820089
804	436.695015
805	436.6306774
806	436.6078937
807	436.5252232
808	436.4528969
809	436.4527271
810	436.3917807
811	436.2237829
812	435.956718
813	435.9282296
814	435.6566277
815	435.5731138
816	435.3965081
817	435.3643235
818	435.0769765
819	435.0742918
820	434.7296801
821	434.7003022
822	434.5974323
823	434.4666874
824	434.4643457
825	434.4555724
826	434.4137961
827	434.2136463
828	433.9316641
829	433.9311405
830	433.6658468
831	433.6426002
832	433.5473347
833	433.3388965
834	433.2343293
835	433.2127525
836	433.0854313
837	433.0335556
838	432.910408
839	432.8168432
840	432.6287975
841	432.5086093
842	432.4736458
843	432.4664895
844	432.2995608
845	432.1838948
846	432.0326328
847	431.9699136
848	431.6969103
849	431.6010987
850	431.4289855
851	431.4195819
852	431.1757963
853	431.1756733
854	431.0146022
855	430.9947432
856	430.7039966
857	430.7037739
858	430.7026465
859	430.6558423
860	430.5226902
861	430.163302
862	430.1631638
863	430.1624732
864	430.0043333
865	430.0041186
866	429.7430932
867	429.7113459
868	429.2092482
869	429.0344761
870	428.8348961
871	428.8081958
872	428.7911498
873	428.7077107
874	428.6975045
875	428.2013688
876	428.1579172
877	428.0915603
878	427.8878734
879	427.8181414
880	427.5529979
881	427.5527825
882	427.3571251
883	427.1042999
884	426.9246828
885	426.8717627
886	426.8073117
887	426.7347627
888	426.7215317
889	426.6528186
890	426.3134484
891	426.0892141
892	426.0879886
893	425.8613476
894	425.7870733
895	425.7281755
896	425.4605704
897	425.4409317
898	424.7756107
899	424.6986318
900	424.665738
901	424.4781351
902	424.4379042
903	424.4371321
904	424.3978124
905	424.2348754
906	424.234587
907	423.9258792
908	423.9210977
909	423.8609737
910	423.8351751
911	423.8347022
912	423.6414141
913	423.6412398
914	423.188142
915	423.0759567
916	423.0132719
917	423.0097297
918	422.5861494
919	422.4527608
920	422.4071446
921	422.3528831
922	422.2816542
923	422.2814941
924	422.1270469
925	422.0982527
926	422.0526193
927	422.0523546
928	421.9296439
929	421.923712
930	421.8465185
931	421.7703453
932	421.7678404
933	421.7312892
934	421.4561324
935	421.4527347
936	421.4344961
937	421.3895414
938	421.2654114
939	421.1664194
940	421.0509553
941	420.8790543
942	420.7559489
943	420.7519986
944	420.7029657
945	420.6996422
946	420.6850139
947	420.6521593
948	420.6420627
949	420.5345275
950	420.5138975
951	420.3580295
952	420.3337318
953	420.3123674
954	420.2941145
955	420.1435052
956	420.1406142
957	420.06329
958	420.0209852
959	419.9243911
960	419.7815626
961	419.6578848
962	419.6199437
963	419.4952492
964	419.4951278
965	419.4531724
966	419.4306099
967	419.0116486
968	418.821686
969	418.7229862
970	418.6788675
971	418.494625
972	418.3561908
973	418.2517737
974	418.250624
975	418.0688145
976	417.9043516
977	417.6551258
978	417.5044695
979	417.3380894
980	417.2409222
981	417.1020007
982	417.1015997
983	416.9785312
984	416.6071946
985	416.555847
986	416.2663381
987	416.1877674
988	416.1762889
989	416.0506019
990	416.0244534
991	416.0173461
992	415.9776369
993	415.7826759
994	415.7638193
995	415.6458774
996	415.6455976
997	415.5812076
998	415.5569156
999	415.4288318
